"pH.KCl";"N..";"P.mg.kg";"K.mg.kg";"Proovi.nimi"
3.72;0.424626135834646;31.5713336035671;79.0445425212809;"Vapramae"
3.65;0.13640206966576;22.2645887096774;42.7369083064516;"Illi"
4.25;0.250075204944405;58.0478753541077;60.712643868879;"Vitipalu"
4.4;2.31929056379952;63.0044532803181;131.183024055666;"Konguta"
2.62;0.369832083531087;25.6233887043189;131.565424584718;"Vehendi"
3.28;0.242688101943346;16.2159420289855;66.164270531401;"Erumae"
5.77;0.255740514704876;8.21473087818697;99.417107082153;"Porgumae"
4.01;0.274961438501547;13.2839269776876;64.7859342799189;"Aardla"
2.51;0.313384192578469;15.4790556900726;89.1433758676352;"Kurepalu"
4.04;0.255007703566487;18.6961507293355;86.7233435980551;"Sarakuste"
3.45;0.351892204769775;13.2845332246229;71.891126049735;"Kannu"
3.13;0.755208637066087;65.7742998352554;148.453459637562;"Vonnu"
3.87;0.376819694522124;51.1187698574338;167.189832016293;"Rookse"
2.82;0.249566014121123;12.7577840679337;68.2537403962798;"Kammeri"
3.94;0.222846134176757;11.4211707710941;84.9670304400485;"Kambja"
2.92;0.450729967697607;29.9243031784841;82.6450386308069;"Reola"
3.4;0.220020085836954;37.0578692493947;79.1740364003228;"Ignase"
3.85;0.176269873669902;50.9111183144246;71.7541341977309;"Unikula"
2.69;0.179444299135619;8.86019607843137;65.9742741830065;"Haavametsa"
4.39;0.259236823348972;10.0739869281046;32.9311727124183;"Kruusahaua"
2.75;0.478767718650713;24.4405730659026;107.386736962751;"Aravu"
4.39;0.269143154259068;12.4954271765663;82.7907246541904;"Pedajamae"
2.98;0.118852358249536;16.7270237615787;41.5152637937978;"Miti"
3.38;0.336143486585014;16.5317867317867;96.446321937322;"Puhaste"
4.72;0.163492916700241;25.2616747181965;68.9940797101449;"Pimmelaan"
3.44;0.540452592831973;25.9793798449612;138.946417217462;"Logina"
4.01;0.201432620419885;12.4152532679739;71.4614281862745;"Voorepalu"
2.96;0.204034890349761;16.1229180327869;93.3668675409836;"Taevaskoja"
2.85;0.795995759775615;41.9645977011494;151.10818599791;"Savimae"
3.6;0.244896042602451;9.11041493775934;62.3061074688797;"Sulaoja"
